D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Piña Colada	Piña Colada	Death & Co	El Dorado 151 Rum	.5	oz
D&C Piña Colada	Piña Colada	Death & Co	El Dorado 3-Year Rum	.5	oz
D&C Piña Colada	Piña Colada	Death & Co	Kalani Ron de Coco Coconut Liqueur	3	dash
D&C Piña Colada	Piña Colada	Death & Co	Pineapple	1	oz
D&C Piña Colada	Piña Colada	Death & Co	Lime	.5	oz
D&C Piña Colada	Piña Colada	Death & Co	Coco Lopez Cream of Coconut	.75	oz
D&C Piña Colada	Piña Colada	Death & Co	Angostura Bitters	2	dash
D&C Piña Colada	Piña Colada	Death & Co	Mint	1	bouqueut
D&C Ping-pong Cocktail	Ping-pong Cocktail	Death & Co	Plymouth Sloe Gin Liqueur	2	oz
D&C Ping-pong Cocktail	Ping-pong Cocktail	Death & Co	Dolin Dry Vermouth	.5	oz
D&C Ping-pong Cocktail	Ping-pong Cocktail	Death & Co	Punt e Mes Sweet Vermouth	.5	oz
D&C Ping-pong Cocktail	Ping-pong Cocktail	Death & Co	House Orange Bitters	2	dash
D&C Ping-pong Cocktail	Ping-pong Cocktail	Death & Co	Lemon	1	twist
D&C Pink Lady	Pink Lady	Death & Co	Plymouth Gin	1.5	oz
D&C Pink Lady	Pink Lady	Death & Co	Laird’s Bonded Apple Brandy	.5	oz
D&C Pink Lady	Pink Lady	Death & Co	Lemon	.75	oz
D&C Pink Lady	Pink Lady	Death & Co	Acacia Honey Syrup	.75	oz
D&C Pink Lady	Pink Lady	Death & Co	Grenadine	.25	oz
D&C Pink Lady	Pink Lady	Death & Co	Egg	1	white
D&C Pink Lady	Pink Lady	Death & Co	Brandied Cherry	3	unit
D&C Pisco Sour	Pisco Sour	Death & Co	Campo de Encanto Acholado Pisco	2	oz
D&C Pisco Sour	Pisco Sour	Death & Co	Lemon	.5	oz
D&C Pisco Sour	Pisco Sour	Death & Co	Lime	.5	oz
D&C Pisco Sour	Pisco Sour	Death & Co	Simple Syrup	.75	oz
D&C Pisco Sour	Pisco Sour	Death & Co	Egg	1	white
D&C Pisco Sour	Pisco Sour	Death & Co	Angostura Bitters	3	drop
D&C Port Au Prince	Port Au Prince	Death & Co	Barbancourt 3-star Rhum	1	oz
D&C Port Au Prince	Port Au Prince	Death & Co	El Dorado 3-Year Rum	1	oz
D&C Port Au Prince	Port Au Prince	Death & Co	Lemon Hart 151 Rum	.25	oz
D&C Port Au Prince	Port Au Prince	Death & Co	John D. Taylor’s Velvet Falernum Liqueur	.75	oz
D&C Port Au Prince	Port Au Prince	Death & Co	Lime	.75	oz
D&C Port Au Prince	Port Au Prince	Death & Co	Pineapple	.5	oz
D&C Port Au Prince	Port Au Prince	Death & Co	Grenadine	.25	oz
D&C Port Au Prince	Port Au Prince	Death & Co	Ginger Syrup	1	tsp
D&C Port Au Prince	Port Au Prince	Death & Co	Bittermens ’elemakule Tiki Bitters	6	drop
D&C Port Au Prince	Port Au Prince	Death & Co	Brandied Cherry	1	unit
D&C Preakness	Preakness	Death & Co	Old Grand-Dad Bonded Bourbon Whiskey	1.5	oz
D&C Preakness	Preakness	Death & Co	Carpano Antica Formula Sweet Vermouth	.75	oz
D&C Preakness	Preakness	Death & Co	Bénédictine Liqueur	.25	oz
D&C Preakness	Preakness	Death & Co	Bitter Truth Aromatic Bitters	1	dash
D&C Preakness	Preakness	Death & Co	Orange	1	twist
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Mint	10	leaves
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Simple Syrup	.75	oz
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Sugar Cube	1	unit
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Caña Brava Rum	2	oz
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Lime	1	oz
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Peychaud’s Bitters	4	dash
D&C Queen’s Parkswizzle	Queen’s Parkswizzle	Death & Co	Angostura Bitters	4	dash
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Plymouth Gin	2	oz
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Lemon	.5	oz
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Lime	.5	oz
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Simple Syrup	1	oz
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Heavy Cream	1	oz
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Egg	1	white
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Orange Flower Water	6	drop
D&C Ramos Ginfizz	Ramos Ginfizz	Death & Co	Club Soda	2	oz
D&C Remember The Maine	Remember The Maine	Death & Co	Vieux Pontarlier Absinthe 1	rinse
D&C Remember The Maine	Remember The Maine	Death & Co	Rittenhouse Bonded Rye Whiskey	2	oz
D&C Remember The Maine	Remember The Maine	Death & Co	Cocchi Vermouth di Torino	.75	oz
D&C Remember The Maine	Remember The Maine	Death & Co	Cherry Heering Liqueur	.25	oz
D&C Remember The Maine	Remember The Maine	Death & Co	Massenez Kirsch Vieux Cherry Brandy	.25	oz
D&C Remember The Maine	Remember The Maine	Death & Co	Lemon	1	twist
D&C Rob Roy	Rob Roy	Death & Co	Compass Box Asyla Scotch Whisky 2	oz
D&C Rob Roy	Rob Roy	Death & Co	Carpano Antica Formula Sweet Vermouth	.75	oz
D&C Rob Roy	Rob Roy	Death & Co	Angostura Bitters	2	dash
D&C Rob Roy	Rob Roy	Death & Co	Brandied Cherry	2	unit
